filename,type,rows,columns,size_mb,format,encoding,notes
A00_metadata_description_of_measurement_data.csv,Metadata,9,11,0.001,CSV,utf-8,
A260205_component_list.csv,Additional Data,44,8,0.003,CSV,utf-8,Update Type
A260205_sensor_list.csv,Additional Data,56,10,0.004,CSV,utf-8,
header_of_measurement_data.csv,Metadata,10,1,0.012,CSV,utf-8,
header_of_measurement_data_edit.csv,Metadata,9,1,0.014,CSV,utf-8,
Humidity_Variation_Averages_48C_130A_2024_11_25_122404.csv,Data,3,268,0.02,CSV,utf-8,
Humidity_Variation_Averages_48C_190A_2024_11_25_143849.csv,Data,3,268,0.02,CSV,utf-8,
Humidity_Variation_Averages_48C_50A_2024_11_25.csv,Data,3,268,0.02,CSV,utf-8,
Humidity_Variation_Raw_Data_48C_130A_12rH_2024_11_25_122404.csv,Data,2610,134,2.223,CSV,latin-1,
Humidity_Variation_Raw_Data_48C_130A_50rH_2024_11_25_123903.csv,Data,2516,134,2.141,CSV,latin-1,
Humidity_Variation_Raw_Data_48C_130A_90rH_2024_11_25_125327.csv,Data,3077,134,2.617,CSV,latin-1,
Humidity_Variation_Raw_Data_48C_190A_0MINrH_2024_11_25_143849.csv,Data,2117,134,1.807,CSV,latin-1,
Humidity_Variation_Raw_Data_48C_190A_50rH_2024_11_25_144926.csv,Data,2314,134,1.972,CSV,latin-1,
Humidity_Variation_Raw_Data_48C_190A_78rH_2024_11_25_145951.csv,Data,2098,134,1.469,CSV,utf-8,
Humidity_Variation_Raw_Data_48C_50A_0MINrH_2024_11_25_132455.csv,Data,4716,134,3.955,CSV,latin-1,
Humidity_Variation_Raw_Data_48C_50A_50rH_2024_11_25_134840.csv,Data,4696,134,3.936,CSV,latin-1,
Humidity_Variation_Raw_Data_48C_50A_90rH_2024_11_25_140949.csv,Data,2794,134,2.341,CSV,latin-1,
Pressure_Variation_Averages_48C_150A_2024_11_21_145908.csv,Data,16,268,0.079,CSV,utf-8,
Pressure_Variation_Raw_Data_48C_150A_2024_11_21_145908.csv,Data,7134,134,6.072,CSV,latin-1,
Temperature_Variation_Averages_48C_130A_241107.csv,Data,7,268,0.039,CSV,utf-8,
Temperature_Variation_Averages_48C_85A_241107.csv,Data,7,268,0.039,CSV,utf-8,
Temperature_Variation_Raw_Data_48C_130A_2024_11_07_105622.csv,Data,12165,134,10.306,CSV,latin-1,
Temperature_Variation_Raw_Data_48C_85A_2024_11_07_105622.csv,Data,13432,134,9.303,CSV,latin-1,
